Biotic (Y/N),fCO2,fCO,fH2,fCH4,fO2,fO3,fN2,fH2O,Pressure (bar),Stellar Mass,,Temp,Reference/Notes,,,
Y,2.80E-04,2.93E-07,,4.50E-06,0.21,2.00E-06,0.761,0.034,1,0.09,,,"Meadows et al. 2023; T-1d, preindustrial Earth",,,
Y,0.05,4.55E-05,,4.52E-04,0.21,3.70E-05,0.733,0.0066,1,0.09,,,"Meadows et al. 2023; T-1e, preindustrial Earth",,,
Y,0.05,4.71E-05,,4.03E-04,0.21,2.60E-05,0.734,6.00E-03,1,0.09,,,"Meadows et al. 2023; T-1e, Clx10",,,
Y,0.05,7.00E-05,,2.05E-04,0.21,1.16E-05,0.732,7.33E-03,1,0.09,,,"Meadows et al. 2023; T-1e, Clx100",,,
Y,0.05,2.43E-04,,8.86E-05,0.21,3.70E-06,0.727,1.31E-02,1,0.09,,,"Meadows et al. 2023; T-1e, Clx1000",,,
,,,,,,,,,,,,,,,,
N,2.80E-04,1.66E-09,,1.55E-07,0.2,2.30E-05,0.788,1.14E-02,1,0.09,,,Lincowski et al. 2018; aqua planet,,,
,,,,,,,,,,,,,,,,
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,4.35E-06,5.00E-02,1.00E-40,1,0.312,,200,Pidhorodeetska et al. 2021 L98 59b 1 bar O2 200K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,2.00E-09,5.00E-02,1.00E-40,1,0.312,,558,Pidhorodeetska et al. 2021 L98 59b 1 bar O2 558K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,6.77E-06,5.00E-02,1.00E-40,10,0.312,,200,Pidhorodeetska et al. 2021 L98 59b 10 bar O2 200K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,6.94E-09,5.00E-02,1.00E-40,10,0.312,,558,Pidhorodeetska et al. 2021 L98 59b 10 bar O2 558K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,1.02E-05,5.00E-02,1.00E-40,1,0.312,,200,Pidhorodeetska et al. 2021 L98 59c 1 bar O2 200K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,1.32E-08,5.00E-02,1.00E-40,1,0.312,,473,Pidhorodeetska et al. 2021 L98 59c 1 bar O2 473K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,1.01E-05,5.00E-02,1.00E-40,10,0.312,,200,Pidhorodeetska et al. 2021 L98 59c 10 bar O2 200K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,1.76E-08,5.00E-02,1.00E-40,10,0.312,,473,Pidhorodeetska et al. 2021 L98 59c 10 bar O2 473K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,9.34E-06,5.00E-02,1.00E-40,1,0.312,,200,Pidhorodeetska et al. 2021 L98 59d 1 bar O2 200K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,7.65E-08,5.00E-02,1.00E-40,1,0.312,,374,Pidhorodeetska et al. 2021 L98 59d 1 bar O2 374K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,1.12E-05,5.00E-02,1.00E-40,10,0.312,,200,Pidhorodeetska et al. 2021 L98 59d 10 bar O2 200K,,,only N2/O2/O3
N,1.00E-40,1.00E-40,1.00E-40,1.00E-40,9.50E-01,1.30E-07,5.00E-02,1.00E-40,10,0.312,,374,Pidhorodeetska et al. 2021 L98 59d 10 bar O2 374K,,,only N2/O2/O3
,,,,,,,,,,,,,,,,
N,5.00E-02,1.21E-02,3.70E-04,1.00E-40,6.47E-02,1.91E-06,8.64E-01,9.27E-03,1,0.334,,288,"Schwieterman et al. 2016 ApJL, GJ 876 worst",,,high-CO/O2 GJ 876 atmosphere from Harman et al. 2015 (Figure 5)
N,3.60E-04,1.03E-08,1.00E-40,1.00E-40,9.50E-01,1.60E-04,4.96E-02,1.00E-40,1,0.334,,267,Schwieterman et al. 2016 ApJL,,,photo_clima_p01bar_3.6e-4_GJ876_dry.pt_fixed_filtered
N,3.60E-04,8.53E-10,1.00E-40,1.00E-40,9.50E-01,1.66E-05,4.96E-02,1.00E-40,10,0.334,,278,Schwieterman et al. 2016 ApJL,,,photo_clima_p010bar_3.6e-4CO2_GJ876_dry.pt_fixed_filtered
N,3.60E-04,6.20E-11,1.00E-40,1.00E-40,9.50E-01,2.01E-06,4.96E-02,1.00E-40,100,0.334,,325,Schwieterman et al. 2016 ApJL,,,photo_clima_p0100bar_GJ876_dry.pt_fixed_filtered
,,,,,,,,,,,,,,,,
Y,1.00E-02,6.81E-08,,9.04E-06,1.00E-01,8.65E-09,8.89E-01,1.38E-03,1,1,,259,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.18E-08,,8.81E-06,1.00E-02,4.80E-09,9.79E-01,1.39E-03,1,1,,259,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.07E-08,,7.43E-06,1.00E-03,5.64E-09,9.88E-01,1.38E-03,1,1,,259,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.58E-08,,6.42E-06,2.10E-01,1.29E-08,7.79E-01,1.25E-03,1,1,,258,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.85E-08,,1.23E-05,5.00E-02,5.63E-09,9.39E-01,1.31E-03,1,1,,258,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.62E-08,,7.73E-06,5.00E-03,5.03E-09,9.84E-01,1.32E-03,1,1,,258,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,9.33E-08,,6.84E-06,5.00E-04,6.99E-09,9.88E-01,1.35E-03,1,1,,258,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.71E-07,,9.57E-05,1.00E-01,4.95E-09,8.88E-01,1.77E-03,1,1,,261,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.76E-07,,7.12E-05,1.00E-02,2.17E-09,9.78E-01,1.68E-03,1,1,,261,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.60E-07,,5.17E-05,1.00E-03,3.95E-09,9.87E-01,1.61E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.10E-07,,4.18E-05,1.00E-04,3.38E-09,9.88E-01,1.90E-03,1,1,,262,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.09E-07,,8.77E-05,2.10E-01,7.00E-09,7.78E-01,1.65E-03,1,1,,261,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.50E-07,,1.01E-04,5.00E-02,3.10E-09,9.38E-01,1.62E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.07E-07,,6.20E-05,5.00E-03,2.59E-09,9.83E-01,1.61E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.23E-07,,4.46E-05,5.00E-04,4.99E-09,9.88E-01,1.53E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.56E-07,,3.22E-05,1.00E-01,7.02E-09,8.88E-01,1.58E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.22E-07,,2.78E-05,1.00E-02,3.07E-09,9.78E-01,1.54E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.99E-07,,2.14E-05,1.00E-03,4.35E-09,9.87E-01,1.50E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.30E-07,,1.66E-05,1.00E-04,5.48E-09,9.88E-01,1.77E-03,1,1,,261,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.99E-07,,2.51E-05,2.10E-01,1.07E-08,7.78E-01,1.48E-03,1,1,,259,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.77E-07,,3.79E-05,5.00E-02,4.45E-09,9.38E-01,1.49E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.96E-07,,2.41E-05,5.00E-03,3.38E-09,9.84E-01,1.48E-03,1,1,,259,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.95E-07,,1.84E-05,5.00E-04,5.78E-09,9.88E-01,1.45E-03,1,1,,259,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.85E-07,,4.81E-05,1.00E-01,6.21E-09,8.88E-01,1.65E-03,1,1,,261,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.13E-07,,3.92E-05,1.00E-02,2.68E-09,9.78E-01,1.59E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.68E-07,,2.95E-05,1.00E-03,4.15E-09,9.87E-01,1.54E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.07E-07,,2.36E-05,1.00E-04,4.63E-09,9.88E-01,1.83E-03,1,1,,262,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.23E-07,,4.01E-05,2.10E-01,9.23E-09,7.78E-01,1.54E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.98E-07,,5.43E-05,5.00E-02,3.91E-09,9.38E-01,1.54E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.75E-07,,3.39E-05,5.00E-03,3.03E-09,9.83E-01,1.52E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.54E-07,,2.51E-05,5.00E-04,5.49E-09,9.88E-01,1.48E-03,1,1,,259,Giada N. Arney 2019 ApJL,,,
,,,,,,,,,,,,,,,,
N,3.60E-04,2.90E-10,1.00E-40,1.00E-40,9.00E-01,3.28E-07,9.96E-02,1.00E-40,0.2,0.346,,260,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,2.27E-08,1.00E-40,1.00E-40,9.00E-01,2.18E-06,9.96E-02,1.00E-40,0.5,0.346,,264,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,1.08E-08,1.00E-40,1.00E-40,9.00E-01,5.19E-07,9.96E-02,1.00E-40,1,0.346,,266,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,5.09E-09,1.00E-40,1.00E-40,9.00E-01,1.11E-07,9.96E-02,1.00E-40,2,0.346,,269,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,3.27E-09,1.00E-40,1.00E-40,9.00E-01,4.78E-08,9.96E-02,1.00E-40,3,0.346,,271,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,1.89E-09,1.00E-40,1.00E-40,9.00E-01,1.81E-08,9.96E-02,1.00E-40,5,0.346,,273,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,8.95E-10,1.00E-40,1.00E-40,9.00E-01,5.36E-09,9.96E-02,1.00E-40,10,0.346,,278,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,4.29E-10,1.00E-40,1.00E-40,9.00E-01,1.53E-09,9.96E-02,1.00E-40,20,0.346,,287,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,2.80E-10,1.00E-40,1.00E-40,9.00E-01,6.82E-10,9.96E-02,1.00E-40,30,0.346,,295,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,6.36E-11,1.00E-40,1.00E-40,9.00E-01,2.48E-11,9.96E-02,1.00E-40,100,0.346,,325,"dry, Schwieterman et al., personal comm.",,,
N,3.60E-04,8.19E-11,1.00E-40,1.00E-40,9.00E-01,2.79E-07,8.81E-02,1.15E-02,0.2,0.346,,265,"wet, Schwieterman et al., personal comm.",,,
N,3.60E-04,6.97E-11,1.00E-40,1.00E-40,9.00E-01,1.36E-07,8.83E-02,1.14E-02,0.5,0.346,,276,"wet, Schwieterman et al., personal comm.",,,
N,3.60E-04,6.63E-11,1.00E-40,1.00E-40,9.00E-01,1.07E-07,8.89E-02,1.07E-02,1,0.346,,285,"wet, Schwieterman et al., personal comm.",,,
N,3.60E-04,2.56E-09,1.00E-40,1.00E-40,9.00E-01,4.80E-13,9.19E-02,7.74E-03,2,0.346,,290,"wet, Schwieterman et al., personal comm.",,,
N,3.60E-04,2.49E-09,1.00E-40,1.00E-40,9.00E-01,1.00E-13,9.20E-02,7.63E-03,3,0.346,,297,"wet, Schwieterman et al., personal comm.",,,
N,3.60E-04,2.13E-09,1.00E-40,1.00E-40,9.00E-01,1.82E-14,8.96E-02,1.00E-02,5,0.346,,310,"wet, Schwieterman et al., personal comm.",,,
N,3.60E-04,1.81E-09,1.00E-40,1.00E-40,9.00E-01,9.67E-16,8.27E-02,1.69E-02,10,0.346,,334,"wet, Schwieterman et al., personal comm.",,,
N,3.60E-04,1.35E-09,1.00E-40,1.00E-40,9.00E-01,3.18E-18,8.22E-02,1.74E-02,20,0.346,,352,"wet, Schwieterman et al., personal comm.",,,
N,3.60E-04,1.20E-09,1.00E-40,1.00E-40,9.00E-01,2.35E-19,8.06E-02,1.90E-02,30,0.346,,364,"wet, Schwieterman et al., personal comm.",,,
N,3.60E-04,7.43E-10,1.00E-40,1.00E-40,9.00E-01,1.16E-20,7.10E-02,2.87E-02,100,0.346,,414,"wet, Schwieterman et al., personal comm.",,,
,,,,,,,,,,,,,,,,
Y,1.00E-02,4.69E-08,,6.39E-06,1.00E-01,8.65E-09,8.89E-01,1.31E-03,1,1,,258.1,Giada N. Arney 2019 ApJL,,"all the ""Giada N. Arney 2019 ApJL"" are surface mixing ratios",
Y,1.00E-02,5.23E-08,,6.34E-06,1.00E-02,5.30E-09,9.79E-01,1.35E-03,1,1,,258.4,Giada N. Arney 2019 ApJL,,and from k dwarf advantage paper,
Y,1.00E-02,6.31E-08,,5.47E-06,1.00E-03,5.98E-09,9.88E-01,1.37E-03,1,1,,258.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.41E-08,,3.58E-06,1.00E-04,8.40E-09,9.88E-01,1.69E-03,1,1,,260.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.12E-08,,4.39E-06,2.10E-01,1.30E-08,7.79E-01,1.21E-03,1,1,,257.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.33E-08,,8.85E-06,5.00E-02,5.76E-09,9.39E-01,1.27E-03,1,1,,257.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.82E-08,,5.44E-06,5.00E-03,5.67E-09,9.84E-01,1.28E-03,1,1,,257.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.68E-08,,4.77E-06,5.00E-04,7.86E-09,9.88E-01,1.32E-03,1,1,,258.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.43E-07,,6.76E-05,1.00E-01,5.55E-09,8.88E-01,1.71E-03,1,1,,261,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.21E-07,,5.25E-05,1.00E-02,2.41E-09,9.78E-01,1.63E-03,1,1,,260.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.48E-07,,3.88E-05,1.00E-03,4.03E-09,9.87E-01,1.58E-03,1,1,,260.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.93E-07,,3.14E-05,1.00E-04,4.00E-09,9.88E-01,1.87E-03,1,1,,262,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.79E-07,,5.93E-05,2.10E-01,8.05E-09,7.78E-01,1.60E-03,1,1,,260.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.42E-07,,7.39E-05,5.00E-02,3.49E-09,9.38E-01,1.58E-03,1,1,,260.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.70E-07,,4.56E-05,5.00E-03,2.79E-09,9.83E-01,1.57E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.24E-07,,3.32E-05,5.00E-04,5.25E-09,9.88E-01,1.50E-03,1,1,,259.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.20E-07,,2.21E-05,1.00E-01,5.39E-09,8.88E-01,2.22E-03,1,0.75,,264,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.00E-07,,2.28E-05,1.00E-02,2.21E-09,9.78E-01,2.13E-03,1,0.75,,263.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.35E-07,,2.79E-05,1.00E-03,1.57E-09,9.87E-01,2.00E-03,1,0.75,,262.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.88E-07,,3.67E-05,1.00E-04,1.17E-09,9.87E-01,2.77E-03,1,0.75,,266.4,Giada N. Arney 2019 ApJL,,,
